# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 1. Europäischen Parlament aus der Bundesrepublik Deutschland (10. Juni 1979)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültig;Gültig;SPD;CDU;CSU;FDP;DKP;EAP;C.B.V.;Zentrum;DIE GRÜNEN
01 0 01;Flensburg, Stadt;67 789;41609;145;41464;21390;16590;0;2067;134;32;40;31;1180
01 0 02;Kiel, Landeshauptstadt;185274;115684;354;115330;58861;46949;0;5382;427;89;98;52;3472
01 0 03;Lübeck, Hansestadt;172513;109295;373;108922;53785;46744;0;5061;351;77;98;26;2780
01 0 04;Neumünster, Stadt;62194;38511;135;38376;19048;16721;0;1596;115;30;30;15;821
01 0 51;Dithmarschen;98287;65128;296;64832;25891;34347;0;2952;127;45;66;22;1382
01 0 53;Herzogtum Lauenburg;113638;77248;332;76916;32274;38256;0;4187;185;46;83;23;1862
01 0 54;Nordfriesland;114086;70802;280;70522;27458;36188;0;4385;119;55;48;24;2245
01 0 55;Ostholstein;134518;91578;405;91173;39467;45086;0;4270;142;78;71;34;2025
01 0 56;Pinneberg;187944;125564;568;124996;54543;58217;0;7585;620;88;133;44;3766
01 0 57;Plön;85961;60582;247;60335;26018;29727;0;2585;180;36;53;31;1705
01 0 58;Rendsburg-Eckernförde;176535;118174;512;117662;49173;59168;0;5754;251;92;114;54;3056
01 0 59;Schleswig-Flensburg;125642;82125;322;81803;32049;43303;0;3988;130;68;79;22;2164
01 0 60;Segeberg;143132;93036;380;92656;37370;46056;0;6104;225;85;98;34;2684
01 0 61;Steinburg;96844;64670;321;64349;27041;32292;0;2752;173;55;70;22;1944
01 0 62;Stormarn;134903;91828;367;91461;37992;44196;0;6137;329;72;88;44;2603
901;Schleswig-Holstein;1899260;1245834;5037;1240797;542360;593840;0;64805;3508;948;1169;478;33689

02 0 00;Hamburg, Freie und Hansestadt;1261369;837865;5267;832598;434385;307467;0;52071;7112;833;878;435;29417
902;Hamburg;1261369;837865;5267;832598;434385;307467;0;52071;7112;833;878;435;29417

03 1 01;Braunschweig, Stadt;200758;137657;700;136957;65929;56519;0;8276;551;134;122;83;5343
03 1 02;Salzgitter, Stadt;85303;59894;343;59551;31258;24032;0;1974;194;57;60;32;1944
03 1 03;Wolfsburg, Stadt;90931;63854;329;63525;27810;30263;0;3029;153;55;81;26;2108
03 1 51;Gifhorn;87954;63091;344;62747;23292;34059;0;2911;104;46;82;34;2219
03 1 52;Göttingen;176725;126440;692;125748;54907;57249;0;7784;471;99;172;92;4974
03 1 53;Goslar;127683;91525;633;90892;42924;40838;0;4370;228;64;119;55;2294
03 1 54;Helmstedt;78601;56976;470;56506;26121;26709;0;2114;107;64;65;49;1277
03 1 55;Northeim;119380;90783;598;90185;45064;38037;0;4145;225;98;84;38;2494
03 1 56;Osterode am Harz;70590;51415;371;51044;26242;21227;0;2064;114;26;41;25;1305
03 1 57;Peine;89673;67870;465;67405;35011;27493;0;2744;192;56;50;38;1821
03 1 58;Wolfenbüttel;89934;67444;476;66968;31828;29922;0;2951;160;54;71;37;1945
03 2 01;Hannover, Landeshauptstadt;388773;271185;1279;269906;133816;106634;0;15934;1284;229;245;478;11286
03 2 51;Diepholz;136684;88801;577;88224;34630;38747;0;11609;238;99;84;56;2761
03 2 52;Hameln-Pyrmont;123063;89924;566;89358;41964;38590;0;4876;159;88;96;47;3538
03 2 53;Hannover;393791;287382;1797;285585;134684;123032;0;16035;677;285;284;135;10453
03 2 54;Hildesheim;209971;155834;1095;154739;74857;67454;0;6041;356;156;222;170;5483
03 2 55;Holzminden;70404;52963;467;52496;27914;20520;0;2293;114;51;57;28;1519
03 2 56;Nienburg (Weser);86987;57315;317;56998;25351;26343;0;3255;98;50;46;38;1817
03 2 57;Schaumburg;114383;83182;550;82632;41495;34539;0;3900;165;95;81;50;2307
03 3 51;Celle;122581;86255;460;85795;32578;45235;0;4395;231;96;96;43;3121
03 3 52;Cuxhaven;143747;93172;613;92559;41965;42113;0;4259;252;107;111;44;3708
03 3 53;Harburg;130021;91992;463;91529;36208;45145;0;6635;245;89;111;46;3050
03 3 54;Lüchow-Dannenberg;38173;25691;130;25561;8050;12769;0;938;47;32;29;9;3687
03 3 55;Lüneburg;96130;65213;384;64829;27891;29821;0;3628;183;66;84;31;3125
03 3 56;Osterholz;67437;46853;296;46557;21494;20077;0;2730;198;57;30;21;1950
03 3 57;Rotenburg (Wümme);97249;66152;320;65832;24778;35386;0;2912;156;66;69;23;2442
03 3 58;Soltau-Fallingbostel;92602;62599;445;62154;24513;31569;0;3392;128;69;111;44;2328
03 3 59;Stade;116655;78415;5026;73389;33905;32852;0;3806;166;106;63;25;2466
03 3 60;Uelzen;72595;53014;347;52667;21165;25889;0;2420;103;58;82;34;2916
03 3 61;Verden;79525;55934;323;55611;25391;24406;0;3217;151;60;43;22;2321
03 4 01;Delmenhorst, Stadt;53256;34244;214;34030;17915;12434;0;2116;101;61;53;27;1323
03 4 02;Emden, Stadt;38214;26123;215;25908;16622;7178;0;1034;185;19;17;11;842
03 4 03;Oldenburg (Oldenburg), Stadt;101089;66259;285;65974;31172;25225;0;5723;627;69;61;53;3044
03 4 04;Osnabrück, Stadt;115278;80586;434;80152;36752;35451;0;4438;235;65;81;169;2961
03 4 05;Wilhelmshaven, Stadt;73314;46416;289;46127;24854;16477;0;2563;138;50;54;18;1973
03 4 51;Ammerland;94696;55616;430;55186;25427;22340;0;5054;193;62;43;29;2038
03 4 52;Aurich;118959;76720;994;75726;43388;26737;0;2758;285;87;81;28;2362
03 4 53;Cloppenburg;74921;55017;527;54490;10378;40611;0;1288;98;49;86;157;1823
03 4 54;Emsland;162069;117261;719;116542;25432;83914;0;2423;219;109;131;353;3961
03 4 55;Friesland;74728;44708;372;44336;21201;18588;0;2473;85;57;58;37;1837
03 4 56;Grafschaft Bentheim;78808;56191;284;55907;23213;27988;0;2639;227;42;49;57;1692
03 4 57;Leer;102223;66168;605;65563;34183;26604;0;2490;280;47;38;31;1890
03 4 58;Oldenburg;67484;44822;279;44543;18249;19887;0;4522;120;43;41;22;1659
03 4 59;Osnabrück;204906;153085;951;152134;58556;80653;0;6954;333;144;171;285;5038
03 4 60;Vechta;64143;49560;378;49182;8855;37361;0;1224;95;54;75;222;1296
03 4 61;Wesermarsch;67790;43821;343;43478;23461;15413;0;2943;189;63;41;21;1347
903;Niedersachsen;5290181;3705422;28195;3677227;1642693;1684330;0;195279;10860;3633;3971;3373;133088

04 0 11;Bremen, Stadt;422009;286148;1882;284266;147883;94307;0;24611;2637;419;502;278;13629
04 0 12;Bremerhaven, Stadt;101557;61222;504;60718;34999;18364;0;3865;418;104;142;73;2753
904;Bremen;523566;347370;2386;344984;182882;112671;0;28476;3055;523;644;351;16382

05 1 11;Düsseldorf, Stadt;441386;282072;1423;280649;122572;125627;0;19689;1955;314;293;421;9778
05 1 12;Duisburg, Stadt;412754;262292;1609;260683;154296;85196;0;11738;1725;337;185;286;6920
05 1 13;Essen, Stadt;511872;335248;1603;333645;177227;126032;0;17519;2287;414;229;638;9299
05 1 14;Krefeld, Stadt;168873;108817;641;108176;46434;50118;0;7512;412;131;113;166;3290
05 1 16;Mönchengladbach, Stadt;187809;112318;714;111604;41593;59918;0;6479;423;115;113;231;2732
05 1 17;Mülheim a.d. Ruhr, Stadt;143146;93615;467;93148;49522;33185;0;6302;505;142;63;104;3325
05 1 19;Oberhausen, Stadt;173754;111593;596;110997;62297;39242;0;5069;626;190;74;289;3210
05 1 20;Remscheid, Stadt;90602;57515;282;57233;26630;24458;0;4258;373;62;52;61;1339
05 1 22;Solingen, Stadt;121541;78739;397;78342;34927;33254;0;6695;642;78;86;67;2593
05 1 24;Wuppertal, Stadt;288582;183843;823;183020;84133;75557;0;16060;1218;171;135;201;5545
05 1 54;Kleve;174166;121570;1163;120407;37751;73361;0;5337;227;103;115;260;3253
05 1 58;Mettmann;334935;223165;1297;221868;97418;97965;0;17559;1016;261;236;269;7144
05 1 62;Neuss;282411;187476;1273;186203;69879;97295;0;12070;566;206;172;684;5331
05 1 66;Viersen;187450;121091;1045;120046;43932;65372;0;6631;389;159;126;300;3137
05 1 70;Wesel;299610;199281;1367;197914;99642;79271;0;11820;658;224;139;230;5930
05 3 13;Aachen, Stadt;159195;109716;811;108905;41553;56644;0;5936;402;100;110;157;4003
05 3 14;Bonn, Stadt;207903;141502;686;140816;44064;75653;0;13533;608;181;219;254;6304
05 3 15;Köln, Stadt;667996;412601;2268;410333;186713;173891;0;29138;2255;409;413;497;17017
05 3 16;Leverkusen, Stadt;115642;75849;446;75403;34326;32578;0;5442;233;98;77;61;2588
05 3 54;Aachen;208344;147282;1721;145561;66780;69621;0;5388;534;179;147;196;2716
05 3 58;Düren;169518;117808;1146;116662;45673;63162;0;4839;355;138;136;155;2204
05 3 62;Erftkreis;277989;190029;1813;188216;87735;82571;0;11782;551;213;162;233;4969
05 3 66;Euskirchen;114631;82158;922;81236;24777;49860;0;4375;170;92;122;146;1694
05 3 70;Heinsberg;149349;105430;1474;103956;33505;63953;0;3821;251;112;106;153;2055
05 3 74;Oberbergischer Kreis;172774;118936;797;118139;46620;59957;0;7970;380;112;125;124;2851
05 3 78;Rheinisch-Bergischer Kreis;176508;120849;689;120160;44200;60912;0;10164;421;133;117;157;4056
05 3 82;Rhein-Sieg-Kreis;318492;222751;1617;221134;75876;120919;0;16469;523;244;275;427;6401
05 5 12;Bottrop, Stadt;88381;59445;401;59044;32085;22412;0;2025;904;54;52;114;1398
05 5 13;Gelsenkirchen, Stadt;233417;151436;954;150482;91076;48867;0;5244;1187;187;102;237;3582
05 5 15;Münster, Stadt;174339;123550;488;123062;41162;64757;0;8953;815;104;107;446;6718
05 5 54;Borken;197730;143186;1091;142095;38263;95181;0;3983;297;90;128;560;3593
05 5 58;Coesfeld;114611;84768;520;84248;22597;55545;0;2976;149;71;77;444;2389
05 5 62;Recklinghausen;469275;315659;2102;313557;166808;120981;0;13124;1878;319;211;549;9687
05 5 66;Steinfurt;257148;183345;1210;182135;69381;97944;0;8059;468;109;137;772;5265
05 5 70;Warendorf;168722;121914;814;121100;41882;69690;0;4877;554;86;99;387;3525
05 7 11;Bielefeld, Stadt;228555;157342;1172;156170;73088;64670;0;10668;752;113;120;127;6632
05 7 54;Gütersloh;194977;131153;727;130426;45093;72167;0;8113;282;109;140;282;4240
05 7 58;Herford;175243;123909;1291;122618;61430;49934;0;7152;327;107;88;65;3515
05 7 62;Höxter;104210;76365;495;75870;19785;51101;0;2599;137;75;100;195;1878
05 7 66;Lippe;239784;169090;1376;167714;78766;68585;0;13308;551;166;218;132;5988
05 7 70;Minden-Lübbecke;217080;146270;1326;144944;70452;60018;0;9829;418;139;127;84;3877
05 7 74;Paderborn;150712;105953;474;105479;25659;71936;0;4544;189;81;113;367;2590
05 9 11;Bochum, Stadt;312732;215780;1173;214607;122945;72841;0;10253;1212;275;148;201;6732
05 9 13;Dortmund, Stadt;461631;305592;1857;303735;174207;102097;0;15618;2042;446;184;285;8856
05 9 14;Hagen, Stadt;164946;107260;667;106593;53487;42924;0;6763;560;114;79;101;2565
05 9 15;Hamm, Stadt;125092;85474;637;84837;41228;36927;0;3808;247;80;42;110;2395
05 9 16;Herne, Stadt;139379;88916;563;88353;53698;28709;0;3073;650;107;52;86;1978
05 9 54;Ennepe-Ruhr-Kreis;261099;184563;1344;183219;99618;65489;0;11522;1154;227;147;147;4915
05 9 58;Hochsauerlandkreis;188701;139519;942;138577;43271;86349;0;5133;319;106;176;387;2836
05 9 62;Märkischer Kreis;306800;203095;1310;201785;88749;93892;0;12832;635;216;193;360;4908
05 9 66;Olpe;86283;64653;364;64289;17972;43048;0;1870;146;41;62;119;1031
05 9 70;Siegen-Wittgenstein;205063;134930;850;134080;59796;58266;0;11864;516;119;150;112;3257
05 9 74;Soest;184875;131575;982;130593;47679;71428;0;6703;325;102;136;510;3710
05 9 78;Unna;276750;197148;1665;195483;105521;74127;0;9564;828;250;119;174;4900
905;Nordrhein-Westfalen;12284767;8275436;55885;8219551;3665773;3765457;0;478052;37247;8811;7447;14120;242644

06 1 11;Darmstadt, Stadt;98961;63052;482;62570;27707;25860;0;5319;387;84;90;30;3093
06 1 12;Frankfurt am Main, Stadt;427787;263722;1761;261961;114947;114258;0;19263;1921;309;396;217;10650
06 1 15;Offenbach am Main, Stadt;78356;48159;447;47712;22820;20104;0;3013;285;54;67;45;1324
06 1 16;Wiesbaden, Landeshauptstadt;194124;121388;753;120635;53698;52814;0;9607;458;187;209;97;3565
06 1 17;Lahn, Stadt;104762;69201;431;68770;31813;29776;0;4487;479;79;79;42;2015
06 1 71;Bergstraße;172384;115205;1147;114058;49630;54571;0;6075;412;162;170;152;2886
06 1 72;Darmstadt-Dieburg;167698;110346;1239;109107;51864;46382;0;6478;706;141;167;91;3278
06 1 73;Groß-Gerau;152200;101578;1100;100478;52705;37862;0;5556;641;125;176;73;3340
06 1 76;Hochtaunuskreis;140968;94820;568;94252;33572;48216;0;8581;370;121;174;76;3142
