# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 2. Europäischen Parlament aus der Bundesrepublik Deutschland (17. Juni 1984)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;FDP;GRÜNE;EAP;Zentrum;BP;FRIEDEN;EFP;FRAUEN;NPD;ÖDP;Mündige Bürger
01 0 01;Flensburg, Stadt;68004;35908;243;35665;16489;13413;0;1592;2976;42;43;0;451;54;229;240;74;62
01 0 02;Kiel, Landeshauptstadt;182561;96752;765;95987;44872;35614;0;3520;8757;121;132;0;1315;168;484;541;307;156
01 0 03;Lübeck, Hansestadt;170754;95836;809;95027;43813;37748;0;3286;7525;94;123;0;841;156;290;829;163;159
01 0 04;Neumünster, Stadt;63762;34238;331;33907;15474;13846;0;1091;2351;53;83;0;549;37;162;176;43;42
01 0 51;Dithmarschen;103047;60069;759;59310;22463;29354;0;2497;3439;69;33;0;448;85;212;526;86;98
01 0 53;Herzogtum Lauenburg;120335;74406;858;73548;27699;34188;0;3464;6147;103;86;0;660;100;305;515;171;110
01 0 54;Nordfriesland;121383;66410;721;65689;24804;30642;0;3231;5194;58;69;0;754;101;294;289;138;115
01 0 55;Ostholstein;144789;85222;972;84250;34071;39010;0;3478;5541;101;103;0;594;118;322;533;254;125
01 0 56;Pinneberg;198647;117750;1263;116487;44141;51157;0;5942;11372;165;169;0;1691;187;510;662;270;221
01 0 57;Plön;91616;56371;717;55654;22577;24666;0;2344;4358;78;60;0;648;80;274;324;162;83
01 0 58;Rendsburg-Eckernförde;188406;109565;1296;108269;42757;49794;0;4689;8065;129;142;0;1150;155;428;516;257;187
01 0 59;Schleswig-Flensburg;134015;75107;876;74231;27948;35496;0;3211;5388;105;84;0;775;129;396;414;180;105
01 0 60;Segeberg;157884;89576;977;88599;31182;41150;0;4965;8382;118;120;0;1054;169;399;682;194;184
01 0 61;Steinburg;100334;59139;764;58375;23288;26862;0;2366;4239;62;72;0;526;79;264;416;101;100
01 0 62;Stormarn;148090;90053;933;89120;31443;40188;0;5149;9523;118;114;0;1081;178;422;429;321;154
901;Schleswig-Holstein;1993627;1146402;12284;1134118;453021;503128;0;50825;93257;1416;1433;0;12537;1796;4991;7092;2721;1901

02 0 00;Hamburg, Freie und Hansestadt;1250808;729868;8162;721706;302848;264300;0;35426;91944;1056;999;0;13516;1304;2481;4761;1721;1350
902;Hamburg;1250808;729868;8162;721706;302848;264300;0;35426;91944;1056;999;0;13516;1304;2481;4761;1721;1350

03 1 01;Braunschweig, Stadt;199789;116330;1122;115208;49062;47153;0;5273;9754;181;264;0;1292;198;540;904;397;190
03 1 02;Salzgitter, Stadt;86004;52484;597;51887;25620;20316;0;1457;2912;83;129;0;386;75;195;538;108;68
03 1 03;Wolfsburg, Stadt;93536;55807;470;55337;21415;25490;0;2095;3906;95;114;0;575;77;263;742;473;92
03 1 51;Gifhorn;96614;61610;556;61054;21111;30579;0;2916;4450;92;108;0;391;101;292;672;239;103
03 1 52;Göttingen;183268;115650;1153;114497;45391;47398;0;5681;12065;135;291;0;1272;170;433;878;599;184
03 1 53;Goslar;128065;77595;880;76715;33149;33529;0;3296;4439;106;144;0;689;135;308;634;149;137
03 1 54;Helmstedt;78854;48768;634;48134;20233;21924;0;1694;2648;74;113;0;273;71;191;689;146;78
03 1 55;Northeim;121232;81464;944;80520;38246;31895;0;3504;4707;94;131;0;460;94;268;583;438;100
03 1 56;Osterode am Harz;71313;45726;597;45129;21411;18116;0;1658;2551;63;87;0;347;64;195;434;115;88
03 1 57;Peine;92890;61752;746;61006;30431;23420;0;1938;3625;76;100;0;445;88;270;397;116;100
03 1 58;Wolfenbüttel;92150;59252;636;58616;25475;25406;0;2309;3607;89;144;0;469;101;257;491;177;91
