# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 3. Europäischen Parlament aus der Bundesrepublik Deutschland (18. Juni 1989)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;F.D.P.;ZENTRUM;ÖDP;Mündige Bürger;BP;BSA;LIGA;CM;DKP;ÖKO-UNION;DVU;REP;FAP;ARB.;HP;MLPD;Bewußtsein;Patrioten
01 0 01;Flensburg, Stadt;69204;34822;220;34602;10791;17190;0;2829;1671;14;88;30;18;6;19;23;50;31;501;1266;16;13;11;5;23;7
01 0 02;Kiel, Landeshauptstadt;191112;104815;624;104191;28842;53557;0;9535;4893;50;235;67;80;30;42;72;241;81;986;5199;42;28;32;67;87;25
01 0 03;Lübeck, Hansestadt;170662;92824;702;92122;29300;43583;0;6117;4172;64;235;81;83;27;54;89;179;107;1477;6307;40;26;32;41;84;24
01 0 04;Neumünster, Stadt;64229;34407;288;34119;11218;17027;0;1852;1416;18;89;28;27;7;33;48;67;31;703;1470;20;13;8;6;23;15
01 0 51;Dithmarschen;102611;60454;700;59754;24082;26225;0;2779;2778;38;154;41;40;20;29;58;63;92;894;2330;35;27;21;17;16;15
01 0 53;Herzogtum Lauenburg;124621;77322;711;76611;28827;30863;0;4852;4536;56;260;81;57;18;24;74;122;95;1151;5411;49;24;25;11;54;21
01 0 54;Nordfriesland;122206;69538;471;69067;27673;29588;0;4373;3947;37;179;57;50;25;33;41;59;104;731;2007;29;30;15;10;52;27
01 0 55;Ostholstein;149254;90477;917;89560;33681;39607;0;4765;4347;47;320;83;72;22;57;74;82;118;1448;4606;39;25;36;32;64;35
01 0 56;Pinneberg;208688;124778;1013;123765;44329;52756;0;9438;7971;57;519;106;139;27;74;97;440;173;1617;5684;83;41;53;14;100;47
01 0 57;Plön;94019;59766;487;59279;21558;27398;0;3627;2937;15;200;43;53;13;20;49;79;68;563;2541;23;14;20;11;25;22
