# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 4. Europäischen Parlament aus der Bundesrepublik Deutschland (12. Juni 1994)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;REP;F.D.P.;ÖDP;BP;CM;LIGA;Solidarität;BSA;APD;BfB;Familie;DSU;GRAUE;NATURGESETZ;Autonome;NPD;FORUM;PBC;PASS;PDS;PEAD;STATT Partei
01 0 01;Flensburg, Stadt;69149;31592;259;31333;13008;10616;3999;0;560;1032;108;23;44;20;15;10;224;457;0;15;374;108;75;74;37;74;61;243;13;143
01 0 02;Kiel, Landeshauptstadt;191055;93879;774;93105;34973;29314;16315;0;1821;3311;679;68;102;86;44;28;517;1581;0;57;712;244;148;129;175;132;176;1426;11;1056
01 0 03;Lübeck, Hansestadt;171742;80540;810;79730;30966;29316;9870;0;2258;2388;281;64;125;68;34;13;412;844;0;57;638;229;76;222;113;133;112;647;18;846
01 0 04;Neumünster, Stadt;64402;27949;349;27600;11292;10497;2512;0;626;866;59;27;54;31;8;8;149;297;0;13;193;76;26;55;38;132;26;197;6;412
01 0 51;Dithmarschen;104652;52843;712;52131;18886;23748;4234;0;1017;1768;131;33;59;28;26;10;331;506;0;43;374;139;74;110;49;56;74;179;12;244
01 0 53;Herzogtum Lauenburg;131109;70504;875;69629;22990;28796;7934;0;2032;3000;242;70;120;34;24;20;481;1049;0;43;553;197;69;338;83;125;108;396;11;914
01 0 54;Nordfriesland;122895;61105;607;60498;21732;26353;6309;0;729;2461;168;43;90;35;32;18;362;610;0;35;448;188;68;140;64;107;93;233;9;171
01 0 55;Ostholstein;154296;82552;1217;81335;29528;35506;7245;0;1838;2758;289;63;130;43;31;23;516;962;0;71;496;254;108;171;81;201;88;380;18;535
01 0 56;Pinneberg;216310;116797;1382;115415;39008;45194;16091;0;2562;5200;316;153;182;64;50;26;751;1681;0;67;955;317;122;210;132;248;175;850;16;1045
01 0 57;Plön;95811;53125;707;52418;18801;21877;5827;0;974;1899;212;46;72;27;26;20;331;796;0;29;375;141;62;99;39;71;46;359;9;280
01 0 58;Rendsburg-Eckernförde;199975;103147;1265;101882;35635;43557;11309;0;1693;4005;391;92;140;63;33;37;572;1346;0;69;700;307;122;169;93;251;125;575;22;576
01 0 59;Schleswig-Flensburg;142665;74715;799;73916;27186;32283;7253;0;1002;2413;226;52;90;42;36;32;418;903;0;58;556;255;88;124;51;143;95;323;8;279
01 0 60;Segeberg;180242;91471;997;90474;29115;38379;10968;0;1939;3984;317;82;161;49;46;32;638;1223;0;59;755;278;95;202;117;202;127;605;17;1084
01 0 61;Steinburg;103372;53138;789;52349;19284;22370;5424;0;1014;1683;141;41;92;34;36;18;297;475;0;40;318;145;65;144;31;146;79;211;16;245
01 0 62;Stormarn;162833;90356;1013;89343;28102;36570;12550;0;1952;4111;536;89;120;43;27;34;541;1477;0;59;774;258;83;121;116;123;80;589;11;977
901;Schleswig-Holstein;2110508;1083713;12555;1071158;380506;434376;127840;0;22017;40879;4096;946;1581;667;468;329;6540;14207;0;715;8221;3136;1281;2308;1219;2144;1465;7213;197;8807

02 0 00;Hamburg, Freie und Hansestadt;1245025;644190;7078;637112;220503;204760;117417;0;19671;23419;1817;565;773;240;192;141;2682;9704;0;296;7867;1874;800;957;873;978;891;8919;103;11670
902;Hamburg;1245025;644190;7078;637112;220503;204760;117417;0;19671;23419;1817;565;773;240;192;141;2682;9704;0;296;7867;1874;800;957;873;978;891;8919;103;11670

03 1 01;Braunschweig, Stadt;203078;108591;1000;107591;41153;40437;13416;0;2451;4535;288;86;136;39;37;21;353;1184;0;49;693;227;138;153;123;256;133;1257;13;413
03 1 02;Salzgitter, Stadt;86974;43397;579;42818;19793;16271;2469;0;1340;1089;70;48;75;14;12;7;163;390;0;27;249;64;43;92;25;82;76;257;12;150
03 1 03;Wolfsburg, Stadt;97027;51144;592;50552;20083;21551;3754;0;1362;1398;106;56;71;16;15;12;236;516;0;46;351;94;38;159;29;163;65;274;5;152
03 1 51;Gifhorn;115788;62939;557;62382;22812;27266;5197;0;1900;2239;131;57;99;34;13;19;265;476;0;38;262;133;87;166;31;586;77;292;11;191
03 1 52;Göttingen;203198;112279;1005;111274;41039;39550;18078;0;2079;4795;392;119;159;34;40;32;451;1030;0;41;477;201;314;205;160;221;100;1467;19;271
03 1 53;Goslar;128363;70303;790;69513;28748;28674;4905;0;1905;2544;139;72;67;31;23;15;287;607;0;43;285;114;49;119;49;134;63;446;7;187
03 1 54;Helmstedt;80060;43547;545;43002;18006;18170;2812;0;949;1162;90;33;68;13;8;8;213;408;0;24;189;71;21;257;25;101;46;216;10;102
03 1 55;Northeim;120645;68978;670;68308;32396;24433;4599;0;1799;2614;140;63;86;27;25;17;260;500;0;41;262;89;62;103;38;145;83;326;14;186
03 1 56;Osterode am Harz;70760;37660;437;37223;17125;14326;2150;0;1004;1187;92;42;48;10;18;8;185;278;0;12;173;44;21;90;19;51;58;193;4;85
03 1 57;Peine;97011;54105;571;53534;25636;19034;3963;0;1555;1398;107;42;51;20;18;7;248;379;0;21;274;76;54;84;29;99;55;226;10;148
03 1 58;Wolfenbüttel;94573;54408;539;53869;22793;21430;4196;0;1272;1978;94;48;47;23;22;10;215;529;0;41;210;106;68;108;44;88;76;279;4;188
03 2 01;Hannover, Landeshauptstadt;389135;208357;1873;206484;78307;70378;30008;0;6188;8536;693;167;287;68;108;37;730;2158;0;336;2097;505;358;397;283;478;349;3276;51;689
03 2 51;Diepholz;155541;66740;1172;65568;26038;23260;7531;0;1598;3944;317;65;103;33;26;17;300;643;0;26;329;142;52;105;35;162;85;441;21;295
03 2 52;Hameln-Pyrmont;126426;68196;714;67482;28872;25145;5838;0;2174;2651;145;70;125;30;27;16;278;620;0;30;297;125;54;135;40;118;78;367;12;235
03 2 53;Hannover;449404;251054;2380;248674;100136;96978;22257;0;7708;10264;640;269;482;113;97;56;1119;2414;0;108;1811;484;245;294;150;432;212;1467;49;889
