Land;District;Name;Eligible Voters;Voters;Invalid;Valid;CDU;GRÜNE;SPD;AFD;CSU;DIE LINKE;FDP;Die PARTEI;FREIE WÄHLER;Tierschutzpartei;ÖDP;FAMILIE;VOLT;PIRATEN;MERA25;HEIMAT;TIERSCHUTZ hier!;PARTEI FÜR DIE TIERE;BP;Graue Panther;Die Grauen;Verjüngungsforschung;BIG;Tierschutzallienz;Bündnis C;Die Humanisten;Volksabstimmung;DIE FRAUEN;LKR;BGE;ÖkoLinX;MENSCHLICHE WELT;LIEBE;DIE VIOLETTEN;DIE DIREKTE!;DIE RECHTE;DKP;MLPD;NL;III. Weg;SGP
SH;01001;Flensburg, Stadt;70431;39647;237;39410;6829;14603;5676;2477;0;2349;1988;1663;257;925;184;345;285;405;222;44;118;61;24;80;74;47;34;80;48;97;45;55;28;72;52;40;38;40;33;19;14;13;24;7;15
SH;01002;Kiel, Landeshauptstadt;186195;109595;577;109018;18311;40324;17911;6459;0;6497;5270;4962;525;1488;516;599;1139;1358;675;119;197;144;38;243;180;129;129;155;85;371;85;103;110;150;198;99;71;84;64;37;68;42;62;9;12
SH;01003;Lübeck, Hansestadt;166530;90946;461;90485;18416;28633;17566;6773;0;4231;4174;2680;1018;1189;456;611;935;883;332;162;214;126;48;181;121;104;213;125;97;234;77;126;73;89;97;68;97;78;56;40;49;40;54;13;6
SH;01004;Neumünster, Stadt;60215;29036;231;28805;7039;7809;5286;2761;0;1041;1539;678;240;407;123;287;114;352;62;140;71;56;25;80;69;34;101;42;43;56;44;42;70;28;20;17;28;21;25;12;11;9;14;6;3
SH;01051;Dithmarschen;107045;58244;475;57769;17955;12121;10294;5121;0;2002;4498;1089;609;886;157;613;185;539;100;98;126;118;28;170;126;111;6;94;25;78;81;70;45;64;41;54;65;47;32;38;22;13;23;13;12
SH;01053;Herzogtum Lauenburg;152666;91899;609;91290;24912;23552;15940;8355;0;3168;5774;1877;990;1439;508;919;502;658;196;171;216;164;69;212;192;107;40;149;124;127;91;109;115;79;60;68;97;68;54;51;33;24;49;18;13
SH;01054;Nordfriesland;131877;77635;446;77189;23444;22580;12566;4373;0;2449;4432;1340;563;1115;244;771;337;815;148;119;198;148;38;184;132;114;17;132;50;104;88;96;48;76;78;73;92;63;40;34;18;22;25;11;12
SH;01055;Ostholstein;165528;96712;723;95989;28117;24383;18289;7752;0;2823;5910;1455;1018;1282;336;947;355;752;181;171;253;208;61;190;161;124;32;131;101;104;85;99;93;72;70;58;85;74;56;30;45;16;31;22;17
SH;01056;Pinneberg;239300;150689;1005;149684;39119;43260;25994;11681;0;5480;9465;3258;1102;2049;691;1119;794;1254;452;182;352;219;87;381;313;169;194;241;152;222;179;179;183;114;99;94;110;119;104;68;54;22;83;31;15
SH;01057;Plön;105085;66925;424;66501;18150;19797;11683;4846;0;2067;3618;1365;559;900;231;564;292;582;142;100;172;149;37;136;148;76;20;104;65;81;61;54;83;52;44;57;70;48;37;24;25;24;22;7;9
SH;01058;Rendsburg-Eckernförde;218614;136614;793;135821;38936;39806;22593;9206;0;4221;7544;2993;1001;2091;573;1205;532;1302;327;195;317;269;71;320;282;178;87;231;95;201;126;128;153;131;123;97;96;110;71;48;36;29;64;18;15
SH;01059;Schleswig-Flensburg;159674;95525;618;94907;27527;28887;15339;5705;0;3123;4739;1880;1087;1474;361;997;409;841;170;103;256;199;53;202;187;131;28;158;55;117;88;96;68;92;71;61;103;80;71;45;24;20;37;12;11
SH;01060;Segeberg;212630;126584;766;125818;34078;33886;21105;10296;0;4597;8446;2552;1407;1937;590;1403;653;1065;309;212;304;223;79;351;316;147;71;216;143;168;159;165;144;105;93;92;122;105;85;50;43;18;53;17;13
SH;01061;Steinburg;104839;60505;387;60118;17285;16150;9848;4675;0;2159;3682;1272;593;978;200;598;287;613;99;123;159;96;40;146;121;61;42;109;76;97;96;47;53;41;47;49;83;58;34;23;21;11;25;11;10
SH;01062;Stormarn;188732;123481;617;122864;32902;36077;19924;9778;0;4138;8459;2403;938;1607;674;1078;710;834;300;157;263;179;71;291;260;148;98;187;103;168;112;136;141;102;107;75;109;84;67;41;51;11;55;13;13
HH;02000;Hamburg, Freie und Hansestadt;1302548;805905;9473;796432;140966;247719;157840;51649;0;55375;44355;30138;3392;10973;5504;2551;9455;6478;6375;877;1403;1154;518;1530;1087;790;2640;1035;801;1601;678;950;990;1285;1692;763;666;569;503;302;520;353;723;144;88
NI;03101;Braunschweig, Stadt;190413;122195;573;121622;27475;34110;24209;8329;0;5764;6281;4831;598;1782;765;611;1612;1159;567;177;284;194;59;213;190;131;323;151;141;338;107;149;276;122;99;73;93;82;83;34;33;64;82;13;18
NI;03102;Salzgitter, Stadt;72737;37215;393;36822;9268;5440;9457;5519;0;1759;1538;796;263;637;102;287;144;204;50;149;138;77;35;65;72;78;175;74;48;56;43;50;69;19;19;18;47;20;14;39;10;9;12;12;10
NI;03103;Wolfsburg, Stadt;89191;50390;324;50066;14495;8970;12056;5105;0;1811;2482;1153;276;820;267;337;217;359;102;124;152;93;49;116;94;89;70;86;152;70;77;64;69;26;23;36;42;24;33;19;37;28;25;11;7
NI;03151;Gifhorn;136223;82780;507;82273;26026;15740;17360;8047;0;2629;3943;1855;519;1289;363;614;356;529;181;144;272;154;98;166;159;151;74;159;584;128;89;91;90;46;35;61;54;59;60;52;21;19;32;14;10
NI;03153;Goslar;107632;62885;495;62390;17949;10754;15236;6409;0;2449;3052;1550;340;1142;244;415;310;385;133;212;241;136;68;114;133;111;87;107;45;111;94;70;89;70;38;38;62;35;38;61;16;13;15;9;9
NI;03154;Helmstedt;73182;42754;326;42428;13022;6885;10514;3895;0;1470;2101;963;274;806;197;341;167;282;91;208;161;99;50;115;68;80;29;69;57;61;67;51;68;32;29;29;33;11;25;27;16;10;16;3;6
NI;03155;Northeim;107594;60355;361;59994;16764;11405;16431;4877;0;1930;2959;1354;352;852;199;399;237;335;110;163;201;89;60;101;114;98;59;112;128;68;78;71;65;76;47;40;57;41;29;30;14;12;21;6;10
NI;03157;Peine;103605;64184;418;63766;16993;12304;16669;5936;0;2229;2931;1513;388;1119;251;507;322;412;128;142;211;154;50;159;137;105;191;120;100;101;88;70;69;53;37;45;50;43;28;37;13;15;23;16;7
NI;03158;Wolfenbüttel;96324;62070;402;61668;17032;13082;14374;5512;0;2185;3050;1815;330;1031;256;357;328;454;129;141;193;128;51;127;105;80;92;95;50;95;66;76;125;37;29;51;46;31;31;25;15;10;17;9;8
NI;03159;Göttingen;253354;152703;745;151958;38912;38410;33889;10309;0;6652;6862;4226;1352;2055;666;834;1352;1010;834;276;375;231;129;221;280;187;165;238;160;393;190;158;206;236;419;93;122;131;88;64;73;50;67;27;16
NI;03241;Region Hannover;844533;540175;2752;537423;132337;140558;112047;43422;0;23979;26322;15886;3071;7842;2454;2872;3611;4331;2130;726;1320;865;415;1048;1080;761;1842;779;859;1166;682;621;558;524;650;406;403;333;311;276;290;229;260;101;56
NI;03251;Diepholz;169375;105348;681;104667;33709;22484;21150;7850;0;3533;6581;2189;710;1418;524;665;427;601;195;155;296;190;59;175;168;163;80;136;98;175;131;117;91;98;81;73;67;66;59;51;24;19;25;22;12
NI;03252;Hameln-Pyrmont;116288;67945;413;67532;19200;13908;15755;6648;0;2609;3180;1273;424;971;225;441;280;434;141;119;249;131;67;133;137;87;102;150;110;79;109;119;68;46;41;40;53;47;38;47;15;8;22;15;11
NI;03254;Hildesheim;217020;135482;663;134819;37713;30585;31123;11272;0;5024;6048;3216;747;2050;555;879;627;773;307;260;410;236;132;232;253;175;165;215;224;238;209;143;131;133;113;91;99;84;73;104;54;25;46;35;20
NI;03255;Holzminden;55950;33503;372;33131;9913;5508;9336;2759;0;924;1902;558;167;435;98;234;100;188;43;72;116;52;46;54;40;33;32;69;88;41;56;34;27;31;23;17;33;26;23;15;11;2;14;8;3
NI;03256;Nienburg (Weser);94437;53561;352;53209;17389;10762;11554;4601;0;1657;2554;1069;323;693;159;351;204;324;116;114;121;94;41;94;89;104;27;88;51;91;79;67;53;58;34;45;49;34;31;30;14;8;16;11;10
NI;03257;Schaumburg;124384;72992;399;72593;20079;15795;17483;6544;0;2296;3234;1549;496;1153;300;549;305;451;148;114;205;164;69;164;144;105;138;115;158;102;91;73;83;62;65;50;64;64;41;56;20;15;24;16;9
NI;03351;Celle;139021;83672;435;83237;26932;16508;15024;9096;0;2703;4657;1712;807;1342;316;584;357;462;186;153;294;158;98;184;177;132;36;154;215;116;115;101;115;70;59;60;77;51;54;31;27;15;31;20;8
NI;03352;Cuxhaven;158334;97886;832;97054;36581;17489;19955;7845;0;3275;3709;1593;756;1438;275;555;355;519;140;176;286;200;65;210;141;133;36;178;65;135;169;131;99;88;63;68;71;64;35;50;23;22;31;13;17
NI;03353;Harburg;199955;132929;828;132101;38070;34654;21515;11358;0;4437;7935;2754;1309;2584;721;843;771;839;408;192;315;229;145;293;261;169;87;193;216;183;134;142;521;95;102;99;94;101;89;73;36;28;79;17;10
NI;03354;Lüchow-Dannenberg;39160;23088;147;22941;6175;6558;3915;1710;0;1269;896;595;125;333;151;167;91;121;107;39;73;36;11;38;32;32;2;35;39;19;29;24;25;64;92;23;30;20;15;11;12;11;7;3;6
NI;03355;Lüneburg;142507;95397;666;94731;23611;27046;17596;7151;0;4530;3914;2614;515;1728;608;567;874;724;393;216;262;189;84;184;160;135;53;144;77;142;112;125;132;175;168;90;85;87;54;70;33;15;44;17;7
NI;03356;Osterholz;90731;56826;310;56516;16084;13754;11606;4550;0;2714;2699;1105;344;818;201;355;251;317;155;89;173;109;42;122;115;66;32;99;73;118;73;63;55;54;40;44;44;33;29;27;17;11;19;10;6
NI;03357;Rotenburg (Wümme);129318;80401;456;79945;28225;17223;14467;5814;0;2641;4221;1708;768;1074;249;557;325;476;159;164;207;116;59;114;125;123;35;142;107;108;111;93;78;62;52;67;66;45;40;34;17;16;29;15;13
NI;03358;Heidekreis;108608;64342;406;63936;19910;12856;14195;5766;0;1987;3243;1179;442;984;258;454;245;380;117;147;201;112;47;126;138;101;22;118;107;85;109;94;70;73;48;47;49;52;32;47;28;8;25;23;11
NI;03359;Stade;157508;98083;593;97490;30779;22224;18491;8245;0;3434;4715;1965;842;1558;361;654;621;784;212;238;249;166;67;168;160;108;92;140;80;147;126;87;182;85;65;70;86;58;69;50;24;15;51;8;14
NI;03360;Uelzen;74964;46290;375;45915;15072;9501;9168;4038;0;1550;2348;906;225;651;191;300;235;327;87;89;144;83;27;99;80;76;13;78;67;71;44;58;61;51;42;39;48;24;24;37;21;9;13;11;7
NI;03361;Verden;105973;68058;498;67560;20584;15916;14118;5242;0;2396;3132;1368;555;929;270;394;290;380;157;101;201;128;30;107;103;88;89;101;82;106;84;78;67;73;66;52;58;56;42;39;15;12;35;11;5
NI;03401;Delmenhorst, Stadt;56279;29611;259;29352;7315;5907;6500;3480;0;1434;1403;716;262;607;100;224;128;198;58;48;102;61;28;108;71;64;118;53;18;33;53;25;39;29;25;21;33;20;20;16;7;5;11;7;5
NI;03402;Emden, Stadt;37967;22907;333;22574;4188;4876;6545;2134;0;1282;1102;617;136;399;47;178;103;200;38;50;66;52;15;43;56;39;13;27;33;46;51;32;26;19;15;27;22;12;21;14;31;5;7;4;3
NI;03403;Oldenburg (Oldenburg), Stadt;129795;84221;388;83833;16019;29947;14420;4379;0;5395;3885;3148;445;1231;579;347;593;619;400;100;204;106;39;135;114;86;105;120;53;219;92;101;289;110;168;58;48;51;50;26;55;29;51;8;9
NI;03404;Osnabrück, Stadt;123608;79178;393;78785;18653;26208;13966;3780;0;4182;3762;2711;301;857;456;262;678;559;312;73;139;85;39;90;109;61;217;79;96;257;71;60;95;96;196;48;40;44;44;31;42;25;48;5;8
NI;03405;Wilhelmshaven, Stadt;61706;32937;315;32622;8502;6412;8470;3021;0;1231;1431;879;325;483;93;231;218;176;90;57;101;75;66;63;72;54;11;49;15;80;53;47;93;31;25;24;23;17;24;24;17;18;14;5;2
NI;03451;Ammerland;97566;63255;463;62792;19150;14780;12396;4419;0;2164;3766;1314;415;949;597;498;285;357;97;98;181;90;37;99;101;103;30;95;35;84;94;70;156;50;46;34;39;29;32;31;16;7;22;17;9
NI;03452;Aurich;153372;92401;1377;91024;22122;17673;26003;8282;0;3462;4382;1752;844;1563;288;711;385;572;152;185;367;234;63;170;187;153;33;170;146;106;131;163;107;97;59;65;90;53;54;79;24;23;31;14;29
NI;03453;Cloppenburg;120227;66148;407;65741;31400;10264;8862;4903;0;1797;3639;1169;284;582;208;549;232;349;53;104;131;61;23;93;89;82;16;62;206;90;62;74;82;32;27;39;40;33;41;21;6;8;18;3;7
NI;03454;Emsland;239069;150178;991;149187;73445;24494;22028;8120;0;3611;7597;2587;539;1346;331;948;557;718;165;190;240;193;69;155;161;193;38;155;118;174;118;151;133;92;51;68;92;72;73;60;26;12;36;15;16
NI;03455;Friesland;81384;50517;527;49990;13854;10287;12575;3873;0;1705;2663;1179;297;846;191;381;220;293;93;76;179;106;37;107;96;81;18;94;27;64;71;60;148;44;42;46;61;26;35;34;18;18;24;14;7
NI;03456;Grafschaft Bentheim;97968;65766;427;65339;25492;12069;15485;3088;0;1724;3063;957;243;669;286;395;196;292;76;73;175;95;53;64;66;70;42;79;79;51;65;67;38;28;35;36;42;32;24;19;22;10;22;11;6
NI;03457;Leer;131488;73354;640;72714;19629;14554;18618;6572;0;2683;3381;1786;363;1114;314;610;387;409;129;138;224;163;51;146;135;91;20;109;184;104;107;101;140;61;44;44;62;57;50;58;26;7;19;8;16
NI;03458;Oldenburg;101026;63567;287;63280;18017;16006;11426;4914;0;2323;4327;1310;716;973;300;466;279;354;132;88;190;103;47;130;127;94;22;94;46;107;90;80;149;44;43;46;49;42;51;26;13;5;32;9;10
NI;03459;Osnabrück;272973;171071;1109;169962;61372;38162;33789;9553;0;5296;8456;3181;784;1806;580;1189;643;881;299;248;351;288;123;196;238;219;119;201;329;220;179;208;172;113;99;101;137;104;73;90;41;24;63;14;21
NI;03460;Vechta;101152;65089;367;64722;31667;11755;7671;3927;0;1522;3733;1274;326;523;170;383;259;309;77;61;93;51;24;69;86;69;51;67;30;94;75;72;36;16;25;25;46;28;24;21;20;12;21;5;5
NI;03461;Wesermarsch;69579;37953;294;37659;10540;8152;8826;2973;0;1446;1993;914;235;604;123;267;144;235;69;69;124;70;10;75;100;75;41;79;16;72;64;44;52;25;22;31;33;33;25;29;17;10;11;5;6
